brand,source,text,sentiment,engagement,wess_score
atomberg,Comment,Brother... please reply me... atomberg renesa model jo hai...not smart varient... Usko bhi app se ya phir Google se control kiya ja sakta hai kya...,Negative,1,-2
atomberg,Comment,Atomberg rensa prime mobile se connect nahi ho raha hi <br>Please replai,Negative,2,-3
atomberg,Comment,Atomberg renesa,Negative,2,-3
atomberg,Comment,This is atomberg Renesa smart,Positive,1,2
atomberg,Video,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Negative,2514113,-2514113
atomberg,Comment,Renesa+ Model Fan new open box problem  20 dayes se camplan karrahahu par koyi response nahi derahahe campane atomberg,Negative,2,-3
atomberg,Comment,Atomberg ke fan ko purchase karne se phile sochna bohat problem hai,Negative,0,-1
atomberg,Comment,"Please do not buy atomberg fan specially studio fan. Nothing is right about this fan, fan wobbles and makes lot of sound. You might save on electricity but you will not get any sleep with this fan.",Negative,1,-2
atomberg,Video,Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc,Negative,16611,-16611
atomberg,Video,Atomberg BLDC Ceiling fan Sleep Mode Use #atombergfan #renesa  #bldcfan Atomberg Fan remote function,Negative,343632,-343632
atomberg,Video,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,Positive,398405,398405
atomberg,Comment,low quality Atomberg fan,Negative,1,-2
orient,Video,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Negative,155201,-155201
usha,Video,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Negative,155201,-155201
atomberg,Comment,Atomberg,Positive,0,1
atomberg,Video,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,Positive,45810,45810
orient,Video,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,Positive,45810,45810
crompton,Video,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,Positive,45810,45810
havells,Video,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,Positive,45810,45810
atomberg,Comment,15 By 15 ka hall he atomberg halo smart 1200 mm lu ya 1400mm.?,Negative,0,-1
orient,Comment,Orient AEON in sab se better hai kya?,Negative,0,-1
crompton,Comment,Bhaiyya Crompton energion niteo m RF Remote h ya IR plz reply mujhe purches Krna h,Negative,0,-1
havells,Comment,Can i go with havells epic signia please answer,Positive,0,1
havells,Comment,Key havells ka 1400MM bldc fan haei??<br>Please send a link,Negative,0,-1
atomberg,Comment,atomberg poor quality after 1 year of use 😢😢😢,Negative,4,-5
havells,Comment,Havells ceiling fan No1<br>Havells Ambrose and Efficiencia,Negative,0,-1
havells,Comment,Havells fan review kro bhai,Positive,0,1
orient,Comment,Orient i-tome bldc,Negative,0,-1
